ratio_occupation,nb_transitions,duree_max_bloc_1_ms,duree_activation_estimee_ms,temps_repos_avant_ms,temps_repos_apres_ms,score,label,class_name
0.4125,2.0,825.0,825.0,717.5,457.5,17.05927452832456,1,swipe_rapide
0.7375,2.0,1475.0,1475.0,335.0,190.0,19.055939023956846,2,swipe_lent
0.725,2.0,1450.0,1450.0,185.0,365.0,20.46216888551746,2,swipe_lent
0.22,2.0,440.0,440.0,737.5,822.5,13.425071526631113,0,tap
0.3125,2.0,625.0,625.0,697.5,677.5,18.27001549204334,2,swipe_lent
0.5925,2.0,1185.0,1185.0,432.5,382.5,18.194817913153734,1,swipe_rapide
0.70625,2.0,1412.5,1412.5,487.5,100.0,19.39577010877707,2,swipe_lent
0.3725,2.0,745.0,745.0,472.5,782.5,16.10993145762793,1,swipe_rapide
0.02875,2.0,57.5,57.5,1060.0,882.5,12.70428770312663,0,tap
0.5625,2.0,1125.0,1125.0,552.5,322.5,18.40888628191861,2,swipe_lent
0.38875,2.0,777.5,777.5,720.0,502.5,16.67974875988716,1,swipe_rapide
0.735,2.0,1470.0,1470.0,147.5,382.5,19.321337466577738,2,swipe_lent
0.2725,2.0,545.0,545.0,720.0,735.0,14.17385527267125,0,tap
0.18375,2.0,367.5,367.5,795.0,837.5,15.046489532843152,0,tap
0.0475,2.0,95.0,95.0,1100.0,805.0,11.38414108721592,0,tap
0.66375,2.0,1327.5,1327.5,280.0,392.5,20.785767822546983,2,swipe_lent
0.42,4.0,570.0,570.0,462.5,695.0,17.87224123268554,1,swipe_rapide
0.2975,2.0,595.0,595.0,852.5,552.5,16.203981572881798,1,swipe_rapide
0.42375,2.0,847.5,847.5,642.5,510.0,17.463229366400007,1,swipe_rapide
0.085,2.0,170.0,170.0,810.0,1020.0,11.761031280654127,0,tap
0.23125,4.0,392.5,392.5,620.0,915.0,16.478001312032763,1,swipe_rapide
0.27875,2.0,557.5,557.5,577.5,865.0,15.453794768507704,0,tap
0.6525,2.0,1305.0,1305.0,460.0,235.0,18.6228160035469,2,swipe_lent
0.60125,2.0,1202.5,1202.5,385.0,412.5,19.58970841933909,2,swipe_lent
0.67,4.0,1337.5,1337.5,320.0,92.5,23.231447404308657,2,swipe_lent
0.50875,2.0,1017.5,1017.5,540.0,442.5,19.230157641460977,2,swipe_lent
0.6325,4.0,1262.5,1262.5,540.0,25.0,21.148571365927012,2,swipe_lent
0.28,2.0,560.0,560.0,607.5,832.5,15.828499520889885,1,swipe_rapide
0.175,4.0,347.5,347.5,702.5,675.0,16.328410108731624,1,swipe_rapide
0.52875,2.0,1057.5,1057.5,472.5,470.0,18.884123594085036,2,swipe_lent
0.54,2.0,1080.0,1080.0,360.0,560.0,17.578199784497386,1,swipe_rapide
0.56,4.0,985.0,985.0,457.5,420.0,22.424204498566866,2,swipe_lent
0.52625,2.0,1052.5,1052.5,540.0,407.5,19.791298465284534,2,swipe_lent
0.19875,2.0,397.5,397.5,755.0,847.5,16.111275447520523,1,swipe_rapide
0.22125,2.0,442.5,442.5,840.0,717.5,15.207284973670477,0,tap
0.465,2.0,930.0,930.0,582.5,487.5,17.853604785798613,1,swipe_rapide
0.57125,4.0,957.5,957.5,397.5,457.5,21.298405799595468,2,swipe_lent
0.6425,4.0,642.5,642.5,422.5,290.0,17.936937334437285,1,swipe_rapide
0.6075,2.0,1215.0,1215.0,360.0,425.0,18.275218986848447,2,swipe_lent
0.05,2.0,100.0,100.0,967.5,932.5,12.191958137765676,0,tap
0.02625,2.0,52.5,52.5,1095.0,852.5,11.53837849069979,0,tap
0.5175,2.0,1035.0,1035.0,390.0,575.0,18.09445558150692,1,swipe_rapide
0.6525,2.0,1305.0,1305.0,302.5,392.5,18.965630255023342,2,swipe_lent
0.43625,2.0,872.5,872.5,372.5,755.0,17.39512431768876,1,swipe_rapide
0.475,2.0,950.0,950.0,572.5,477.5,18.584508339334242,2,swipe_lent
0.2175,4.0,432.5,432.5,737.5,817.5,15.01880604829626,0,tap
0.5175,2.0,1035.0,1035.0,412.5,552.5,20.512488937275332,2,swipe_lent
0.03375,4.0,65.0,65.0,902.5,820.0,11.720501657550374,0,tap
0.4775,2.0,955.0,955.0,562.5,482.5,17.80396921407109,1,swipe_rapide
0.2225,2.0,445.0,445.0,617.5,937.5,15.881157303064557,1,swipe_rapide
0.7425,2.0,1485.0,1485.0,270.0,245.0,17.311028911350306,1,swipe_rapide
0.265,2.0,530.0,530.0,755.0,715.0,16.235120933442303,1,swipe_rapide
0.5675,2.0,1135.0,1135.0,615.0,250.0,16.195455302608583,1,swipe_rapide
0.38625,2.0,772.5,772.5,755.0,472.5,17.07827516731388,1,swipe_rapide
0.3025,4.0,602.5,602.5,447.5,460.0,16.852139054118993,1,swipe_rapide
0.71875,2.0,1437.5,1437.5,337.5,225.0,19.872318823721233,2,swipe_lent
0.07625,2.0,152.5,152.5,780.0,1067.5,12.17323964561652,0,tap
0.1725,4.0,342.5,342.5,407.5,782.5,15.357519980970062,0,tap
0.73125,2.0,1462.5,1462.5,532.5,5.0,20.11102981782942,2,swipe_lent
0.41625,2.0,832.5,832.5,510.0,657.5,16.946335365705714,1,swipe_rapide
0.63,2.0,1260.0,1260.0,377.5,362.5,17.99880545405134,1,swipe_rapide
0.18,4.0,357.5,357.5,490.0,960.0,17.875500101770893,1,swipe_rapide
0.0775,2.0,155.0,155.0,1092.5,752.5,12.677889370811107,0,tap
0.6125,2.0,1225.0,1225.0,377.5,397.5,18.12295361522119,1,swipe_rapide
0.29125,2.0,582.5,582.5,515.0,902.5,15.393993642386187,0,tap
0.32625,2.0,652.5,652.5,895.0,452.5,15.120682782873047,0,tap
0.025,4.0,47.5,47.5,937.5,862.5,10.23666391030488,0,tap
0.62,2.0,1240.0,1240.0,397.5,362.5,20.407522999484982,2,swipe_lent
0.30875,2.0,617.5,617.5,800.0,582.5,16.200133899940333,1,swipe_rapide
0.33625,2.0,672.5,672.5,615.0,712.5,17.50039169866469,1,swipe_rapide
0.2525,2.0,505.0,505.0,500.0,995.0,15.443307497168558,0,tap
0.20125,2.0,402.5,402.5,972.5,625.0,16.590422879356378,1,swipe_rapide
0.17375,2.0,347.5,347.5,630.0,1022.5,15.31687116714044,0,tap
0.2975,2.0,595.0,595.0,652.5,752.5,14.793018442101468,0,tap
0.0575,2.0,115.0,115.0,1022.5,862.5,10.479432918145415,0,tap
0.14,2.0,280.0,280.0,932.5,787.5,14.216542453729623,0,tap
0.21,2.0,420.0,420.0,817.5,762.5,17.06216876760793,1,swipe_rapide
0.03875,2.0,77.5,77.5,925.0,997.5,10.608065435459318,0,tap
0.21375,2.0,427.5,427.5,802.5,770.0,15.23943785310578,0,tap
0.32,4.0,402.5,402.5,582.5,775.0,18.04149565888931,1,swipe_rapide
0.42,2.0,840.0,840.0,510.0,650.0,16.782343462421036,1,swipe_rapide
0.3675,2.0,735.0,735.0,802.5,462.5,14.617272411869976,0,tap
0.305,4.0,607.5,607.5,525.0,622.5,17.508811002402783,1,swipe_rapide
0.32,2.0,640.0,640.0,740.0,620.0,16.790009693347688,1,swipe_rapide
0.6125,2.0,1225.0,1225.0,390.0,385.0,16.80501631173068,1,swipe_rapide
0.58,2.0,1160.0,1160.0,447.5,392.5,18.57656470042273,2,swipe_lent
0.34625,2.0,692.5,692.5,422.5,885.0,17.15952370913045,1,swipe_rapide
0.1825,2.0,365.0,365.0,832.5,802.5,15.164151804906778,0,tap
0.09875,2.0,197.5,197.5,942.5,860.0,12.885557822768991,0,tap
0.3975,2.0,795.0,795.0,685.0,520.0,16.206074902292418,1,swipe_rapide
0.6575,4.0,1065.0,1065.0,415.0,267.5,22.986715046466156,2,swipe_lent
0.59125,2.0,1182.5,1182.5,362.5,455.0,19.946603546015872,2,swipe_lent
0.46875,2.0,937.5,937.5,635.0,427.5,17.512157498093167,1,swipe_rapide
0.4225,2.0,845.0,845.0,397.5,757.5,19.463951961182108,2,swipe_lent
0.34625,2.0,692.5,692.5,825.0,482.5,17.021224828094212,1,swipe_rapide
0.5275,2.0,1055.0,1055.0,565.0,380.0,16.977706987224142,1,swipe_rapide
0.58,2.0,1160.0,1160.0,425.0,415.0,19.819834858881578,2,swipe_lent
0.27,2.0,540.0,540.0,625.0,835.0,18.27409059603617,2,swipe_lent
0.41,2.0,820.0,820.0,555.0,625.0,17.805940827949104,1,swipe_rapide
0.5275,2.0,1055.0,1055.0,327.5,617.5,19.000198957728948,2,swipe_lent
0.6575,2.0,1315.0,1315.0,215.0,470.0,20.11484462120694,2,swipe_lent
0.18,2.0,360.0,360.0,952.5,687.5,16.027445997981378,1,swipe_rapide
0.03875,2.0,77.5,77.5,965.0,957.5,11.412653308847167,0,tap
0.6725,2.0,1345.0,1345.0,270.0,385.0,18.635354462513607,2,swipe_lent
0.0825,2.0,165.0,165.0,860.0,975.0,11.47815130704161,0,tap
0.13,2.0,260.0,260.0,975.0,765.0,13.761610482776303,0,tap
0.0775,2.0,155.0,155.0,812.5,1032.5,12.842152776060423,0,tap
0.69375,2.0,1387.5,1387.5,160.0,452.5,19.95837551015363,2,swipe_lent
0.54625,4.0,1090.0,1090.0,360.0,480.0,23.25974445508126,2,swipe_lent
0.67125,4.0,935.0,935.0,322.5,332.5,21.353756880660267,2,swipe_lent
0.275,2.0,550.0,550.0,807.5,642.5,16.383273310369187,1,swipe_rapide
0.15,4.0,297.5,297.5,730.0,930.0,13.296654418157766,0,tap
0.1025,2.0,205.0,205.0,980.0,815.0,13.583034020248101,0,tap
0.595,2.0,1190.0,1190.0,520.0,290.0,17.704565726468168,1,swipe_rapide
0.445,4.0,602.5,602.5,640.0,467.5,16.866059535496735,1,swipe_rapide
0.2625,2.0,525.0,525.0,820.0,655.0,14.528025187423571,0,tap
0.38,4.0,465.0,465.0,450.0,787.5,16.498325743592545,1,swipe_rapide
0.1275,2.0,255.0,255.0,895.0,850.0,13.260982951386467,0,tap
0.22625,4.0,450.0,450.0,572.5,957.5,17.905729327263742,1,swipe_rapide
0.02875,2.0,57.5,57.5,887.5,1055.0,11.851324585667609,0,tap
0.43875,2.0,877.5,877.5,815.0,307.5,15.680699203167682,1,swipe_rapide
0.37625,2.0,752.5,752.5,595.0,652.5,17.93465089726125,1,swipe_rapide
0.40875,2.0,817.5,817.5,490.0,692.5,18.151511165244216,1,swipe_rapide
0.72625,2.0,1452.5,1452.5,417.5,130.0,20.65310679458884,2,swipe_lent
0.40625,4.0,810.0,810.0,487.5,612.5,20.977340822954215,2,swipe_lent
0.7,2.0,1400.0,1400.0,222.5,377.5,19.008124537652925,2,swipe_lent
0.34875,2.0,697.5,697.5,650.0,652.5,15.583119429987088,1,swipe_rapide
0.5175,4.0,570.0,570.0,467.5,495.0,17.631345818102794,1,swipe_rapide
0.4525,2.0,905.0,905.0,565.0,530.0,17.794482535307875,1,swipe_rapide
0.6975,4.0,962.5,962.5,265.0,337.5,21.56617380676505,2,swipe_lent
0.74375,2.0,1487.5,1487.5,207.5,305.0,18.148918611756887,1,swipe_rapide
0.545,2.0,1090.0,1090.0,250.0,660.0,16.716736276480148,1,swipe_rapide
0.56625,2.0,1132.5,1132.5,427.5,440.0,17.56863016532557,1,swipe_rapide
0.18875,2.0,377.5,377.5,735.0,887.5,13.74376126828148,0,tap
0.4475,2.0,895.0,895.0,617.5,487.5,19.920741171583213,2,swipe_lent
0.67625,2.0,1352.5,1352.5,347.5,300.0,17.448345410854035,1,swipe_rapide
0.44,2.0,880.0,880.0,550.0,570.0,17.87915544264609,1,swipe_rapide
0.06375,2.0,127.5,127.5,847.5,1025.0,12.520085332157544,0,tap
0.26,2.0,520.0,520.0,750.0,730.0,13.584666507301678,0,tap
0.66125,2.0,1322.5,1322.5,270.0,407.5,21.725163318777334,2,swipe_lent
0.74875,2.0,1497.5,1497.5,265.0,237.5,20.65413251586186,2,swipe_lent
0.12,2.0,240.0,240.0,737.5,1022.5,13.128807301470165,0,tap
0.57,2.0,1140.0,1140.0,307.5,552.5,18.214654214123968,1,swipe_rapide
0.35125,2.0,702.5,702.5,675.0,622.5,18.245547538482352,1,swipe_rapide
0.37125,4.0,457.5,457.5,525.0,730.0,15.42826388260618,0,tap
0.54125,2.0,1082.5,1082.5,395.0,522.5,17.01105510149511,1,swipe_rapide
0.26625,2.0,532.5,532.5,677.5,790.0,16.35937240235227,1,swipe_rapide
0.46875,4.0,935.0,935.0,747.5,245.0,20.078825241356753,2,swipe_lent
0.54875,2.0,1097.5,1097.5,587.5,315.0,18.88046950861758,2,swipe_lent
0.59625,2.0,1192.5,1192.5,227.5,580.0,21.33560032790779,2,swipe_lent
0.28875,4.0,455.0,455.0,707.5,712.5,18.077369054128027,1,swipe_rapide
0.68375,2.0,1367.5,1367.5,285.0,347.5,21.508043301101957,2,swipe_lent
0.1525,2.0,305.0,305.0,990.0,705.0,12.863827810810324,0,tap
0.1825,2.0,365.0,365.0,880.0,755.0,16.103221512915955,1,swipe_rapide
0.165,4.0,202.5,202.5,885.0,782.5,13.654733464876806,0,tap
0.41,2.0,820.0,820.0,750.0,430.0,17.421296811066593,1,swipe_rapide
0.5575,2.0,1115.0,1115.0,505.0,380.0,19.311396034920634,2,swipe_lent
0.11875,2.0,237.5,237.5,790.0,972.5,13.307933821875174,0,tap
0.6875,2.0,1375.0,1375.0,250.0,375.0,20.781425017332293,2,swipe_lent
0.025,2.0,50.0,50.0,1110.0,840.0,12.131108374030909,0,tap
0.12375,2.0,247.5,247.5,967.5,785.0,11.729103889131043,0,tap
0.38375,2.0,767.5,767.5,762.5,470.0,18.26112341593374,2,swipe_lent
0.16875,2.0,337.5,337.5,1025.0,637.5,14.006574330797859,0,tap
0.0425,4.0,82.5,82.5,820.0,985.0,11.761321535689131,0,tap
0.54,2.0,1080.0,1080.0,457.5,462.5,16.680086902033235,1,swipe_rapide
0.38,2.0,760.0,760.0,805.0,435.0,18.60894729806935,2,swipe_lent
0.07,2.0,140.0,140.0,1065.0,795.0,13.471831398609119,0,tap
0.4025,2.0,805.0,805.0,547.5,647.5,17.213599253814042,1,swipe_rapide
0.6525,2.0,1305.0,1305.0,305.0,390.0,17.94888422674316,1,swipe_rapide
0.15875,2.0,317.5,317.5,815.0,867.5,13.253083719497614,0,tap
0.43375,2.0,867.5,867.5,657.5,475.0,15.631276264704725,1,swipe_rapide
0.6075,2.0,1215.0,1215.0,500.0,285.0,18.504041987328417,2,swipe_lent
0.7225,2.0,1445.0,1445.0,502.5,52.5,18.93690594387083,2,swipe_lent
0.25375,2.0,507.5,507.5,592.5,900.0,14.74549739779996,0,tap
0.63875,2.0,1277.5,1277.5,150.0,572.5,19.805630870052102,2,swipe_lent
0.5325,2.0,1065.0,1065.0,547.5,387.5,17.904565569469582,1,swipe_rapide
0.62125,2.0,1242.5,1242.5,470.0,287.5,20.467527299495774,2,swipe_lent
0.26875,2.0,537.5,537.5,845.0,617.5,17.439593581149026,1,swipe_rapide
0.1775,4.0,352.5,352.5,685.0,770.0,16.903439698036188,1,swipe_rapide
0.37375,2.0,747.5,747.5,652.5,600.0,16.479474852224772,1,swipe_rapide
0.03125,2.0,62.5,62.5,892.5,1045.0,12.008587538885852,0,tap
0.205,2.0,410.0,410.0,600.0,990.0,14.679256313994392,0,tap
0.4,4.0,572.5,572.5,570.0,627.5,18.619430771405643,2,swipe_lent
0.405,4.0,807.5,807.5,567.5,507.5,21.183932830378758,2,swipe_lent
0.3825,4.0,762.5,762.5,412.5,447.5,22.601474728885588,2,swipe_lent
0.67625,2.0,1352.5,1352.5,402.5,245.0,18.66168095490314,2,swipe_lent
0.50375,2.0,1007.5,1007.5,287.5,705.0,17.69217741096159,1,swipe_rapide
0.29625,2.0,592.5,592.5,835.0,572.5,14.67432720472776,0,tap
0.5575,2.0,1115.0,1115.0,297.5,587.5,18.40865962126335,2,swipe_lent
0.30125,2.0,602.5,602.5,680.0,717.5,15.28948497623288,0,tap
0.23375,2.0,467.5,467.5,790.0,742.5,13.804935952803511,0,tap
0.705,4.0,1407.5,1407.5,360.0,150.0,25.862465015375538,2,swipe_lent
0.13375,2.0,267.5,267.5,865.0,867.5,13.382458293412203,0,tap
0.12875,2.0,257.5,257.5,912.5,830.0,12.591188446652572,0,tap
0.27375,2.0,547.5,547.5,642.5,810.0,16.105905163765698,1,swipe_rapide
0.35125,4.0,532.5,532.5,647.5,647.5,16.379722001812755,1,swipe_rapide
0.44875,2.0,897.5,897.5,625.0,477.5,19.807402894454583,2,swipe_lent
0.115,2.0,230.0,230.0,1025.0,745.0,14.334053397665633,0,tap
0.41375,2.0,827.5,827.5,625.0,547.5,18.862563231370622,2,swipe_lent
0.49875,2.0,997.5,997.5,457.5,545.0,16.862093013366074,1,swipe_rapide
0.375,2.0,750.0,750.0,410.0,840.0,19.4977124596632,2,swipe_lent
0.04375,2.0,87.5,87.5,895.0,1017.5,12.425564128071043,0,tap
0.4325,2.0,865.0,865.0,812.5,322.5,15.286344631347369,0,tap
0.23375,2.0,467.5,467.5,752.5,780.0,14.363884690886856,0,tap
0.36375,2.0,727.5,727.5,640.0,632.5,16.574674211433347,1,swipe_rapide
0.62375,2.0,1247.5,1247.5,217.5,535.0,21.21477009224742,2,swipe_lent
0.10375,2.0,207.5,207.5,722.5,1070.0,13.530729508431698,0,tap
0.5475,2.0,1095.0,1095.0,382.5,522.5,17.60699072735882,1,swipe_rapide
0.59625,2.0,1192.5,1192.5,317.5,490.0,20.19687712660099,2,swipe_lent
0.4675,2.0,935.0,935.0,590.0,475.0,17.572316202842224,1,swipe_rapide
0.03125,2.0,62.5,62.5,1065.0,872.5,11.454559936211316,0,tap
0.6025,2.0,1205.0,1205.0,580.0,215.0,18.0260965625908,1,swipe_rapide
0.31,2.0,620.0,620.0,647.5,732.5,15.739906492192288,1,swipe_rapide
0.73875,2.0,1477.5,1477.5,360.0,162.5,18.711358327123435,2,swipe_lent
0.5575,2.0,1115.0,1115.0,477.5,407.5,21.015606487276102,2,swipe_lent
0.225,4.0,275.0,275.0,790.0,757.5,17.163513431321842,1,swipe_rapide
0.68375,2.0,1367.5,1367.5,297.5,335.0,20.459707146562373,2,swipe_lent
0.10625,2.0,212.5,212.5,937.5,850.0,12.935635363938015,0,tap
0.4475,2.0,895.0,895.0,580.0,525.0,19.542174701277464,2,swipe_lent
0.6775,4.0,862.5,862.5,390.0,252.5,17.223478287113362,1,swipe_rapide
0.7075,2.0,1415.0,1415.0,305.0,280.0,19.284099174750054,2,swipe_lent
0.185,2.0,370.0,370.0,802.5,827.5,13.608601416569783,0,tap
0.5875,2.0,1175.0,1175.0,492.5,332.5,19.234439875284366,2,swipe_lent
0.665,2.0,1330.0,1330.0,317.5,352.5,20.5454285446263,2,swipe_lent
0.30625,2.0,612.5,612.5,710.0,677.5,17.19076352829441,1,swipe_rapide
0.615,2.0,1230.0,1230.0,385.0,385.0,17.838591524483814,1,swipe_rapide
0.45125,2.0,902.5,902.5,685.0,412.5,18.407737377562594,2,swipe_lent
0.21,2.0,420.0,420.0,577.5,1002.5,14.484989381112209,0,tap
0.64875,2.0,1297.5,1297.5,395.0,307.5,18.671431177231202,2,swipe_lent
0.07875,2.0,157.5,157.5,930.0,912.5,10.583890958297722,0,tap
0.54625,2.0,1092.5,1092.5,570.0,337.5,17.336465934171233,1,swipe_rapide
0.5175,2.0,1035.0,1035.0,265.0,700.0,19.337309311104654,2,swipe_lent
0.36875,2.0,737.5,737.5,565.0,697.5,16.44058020566707,1,swipe_rapide
0.51375,2.0,1027.5,1027.5,570.0,402.5,19.854034837200395,2,swipe_lent
0.60125,2.0,1202.5,1202.5,345.0,452.5,19.638992707825214,2,swipe_lent
0.53625,2.0,1072.5,1072.5,502.5,425.0,17.504830865329,1,swipe_rapide
0.47,2.0,940.0,940.0,695.0,365.0,18.452388777685425,2,swipe_lent
0.655,4.0,847.5,847.5,120.0,567.5,21.48270988597438,2,swipe_lent
0.1825,2.0,365.0,365.0,1072.5,562.5,13.48011754226533,0,tap
0.57,4.0,1045.0,1045.0,447.5,410.0,22.746078529984455,2,swipe_lent
0.425,4.0,805.0,805.0,500.0,647.5,20.986762826147512,2,swipe_lent
0.58875,2.0,1177.5,1177.5,227.5,595.0,19.49303205864867,2,swipe_lent
0.7225,2.0,1445.0,1445.0,197.5,357.5,20.441962950877766,2,swipe_lent
0.09125,4.0,180.0,180.0,960.0,840.0,13.562714851788922,0,tap
0.1375,2.0,275.0,275.0,880.0,845.0,15.303542882841084,0,tap
0.0575,2.0,115.0,115.0,725.0,1160.0,10.951368217285218,0,tap
0.5125,2.0,1025.0,1025.0,430.0,545.0,20.457241454494458,2,swipe_lent
0.2975,2.0,595.0,595.0,490.0,915.0,15.411424700311906,0,tap
0.61625,2.0,1232.5,1232.5,455.0,312.5,19.839262089542498,2,swipe_lent
0.36,2.0,720.0,720.0,875.0,405.0,16.08716175446547,1,swipe_rapide
0.4025,2.0,805.0,805.0,745.0,450.0,16.805516981868163,1,swipe_rapide
0.5825,2.0,1165.0,1165.0,445.0,390.0,19.1973262410824,2,swipe_lent
0.7225,2.0,1445.0,1445.0,80.0,475.0,20.330242834006942,2,swipe_lent
0.645,2.0,1290.0,1290.0,412.5,297.5,20.069807968283115,2,swipe_lent
0.24375,2.0,487.5,487.5,642.5,870.0,14.82614693432924,0,tap
0.1625,2.0,325.0,325.0,880.0,795.0,13.818168272867391,0,tap
0.36125,2.0,722.5,722.5,745.0,532.5,16.734445774620646,1,swipe_rapide
0.0825,2.0,165.0,165.0,832.5,1002.5,10.508742218743144,0,tap
0.02875,2.0,57.5,57.5,1110.0,832.5,12.432801365386547,0,tap
0.725,4.0,990.0,990.0,195.0,352.5,22.068097667677097,2,swipe_lent
0.1075,2.0,215.0,215.0,965.0,820.0,12.89852772739528,0,tap
0.37625,2.0,752.5,752.5,477.5,770.0,19.476034852850464,2,swipe_lent
0.6,4.0,732.5,732.5,357.5,440.0,19.17382259264971,2,swipe_lent
0.515,2.0,1030.0,1030.0,322.5,647.5,19.502643707290133,2,swipe_lent
0.4975,2.0,995.0,995.0,450.0,555.0,17.950341380188387,1,swipe_rapide
0.54875,4.0,1095.0,1095.0,272.5,285.0,23.285035719489937,2,swipe_lent
0.12,2.0,240.0,240.0,847.5,912.5,13.16469420897113,0,tap
0.42625,2.0,852.5,852.5,485.0,662.5,18.841807088112247,2,swipe_lent
0.07875,4.0,135.0,135.0,1010.0,830.0,13.748617588380581,0,tap
0.25125,2.0,502.5,502.5,965.0,532.5,15.677563187906015,1,swipe_rapide
0.61875,2.0,1237.5,1237.5,205.0,557.5,19.99944061878844,2,swipe_lent
0.10625,2.0,212.5,212.5,977.5,810.0,13.67754788414279,0,tap
0.465,2.0,930.0,930.0,357.5,712.5,19.194754986013688,2,swipe_lent
0.475,2.0,950.0,950.0,572.5,477.5,17.904506634434462,1,swipe_rapide
0.50125,2.0,1002.5,1002.5,485.0,512.5,16.782018929319843,1,swipe_rapide
0.36875,2.0,737.5,737.5,595.0,667.5,15.294465402535836,0,tap
0.5475,2.0,1095.0,1095.0,435.0,470.0,17.072632190535764,1,swipe_rapide
0.4675,2.0,935.0,935.0,492.5,572.5,18.42091007851695,2,swipe_lent
0.65625,2.0,1312.5,1312.5,452.5,235.0,19.102478716964843,2,swipe_lent
0.03,2.0,60.0,60.0,1060.0,880.0,11.901123116597981,0,tap
0.3775,2.0,755.0,755.0,532.5,712.5,19.238062007018993,2,swipe_lent
0.3225,2.0,645.0,645.0,500.0,855.0,16.684148229605718,1,swipe_rapide
0.72125,2.0,1442.5,1442.5,157.5,400.0,19.95546238935255,2,swipe_lent
0.555,2.0,1110.0,1110.0,517.5,372.5,18.96390659515983,2,swipe_lent
0.3925,2.0,785.0,785.0,762.5,452.5,16.372455023123738,1,swipe_rapide
0.46,2.0,920.0,920.0,485.0,595.0,17.441296374298382,1,swipe_rapide
0.74375,2.0,1487.5,1487.5,235.0,277.5,18.811930847218925,2,swipe_lent
0.3575,2.0,715.0,715.0,810.0,475.0,16.953939172336074,1,swipe_rapide
